Food Code,Food Name,Description,Group,Main data references,Water (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal),Energy (kJ),Starch (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g fd (g),Mono FA /100g food (g),Poly FA /100g food (g),Trans FAs /100g food (g),Cholesterol (mg),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Copper (mg),Zinc (mg),Chloride (mg),Manganese (mg),Selenium (µg),Iodine (µg),Retinol (µg),Carotene (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K1 (µg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Tryptophan/60 (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folate (µg),Pantothenate (mg),Biotin (µg),Vitamin C (mg)
13-291,"Mushrooms, Jew's ear, tough, dried, raw",Literature sources:,DG,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculture Organization and US Department of Health",7.5,4.8,2.0,68.7,325,1360,NULL,NULL,NULL,0.0,NULL,NULL,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,130,630,230,NULL,110,21.50,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0.0,NULL,NULL,0.17,0.32,2.2,0.6,NULL,0.0,NULL,NULL,NULL,0
13-292,"Mushrooms, Jew's ear, tough, dried, soaked, raw",Literature sources:,DG,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculture Organization and US Department of Health",78.2,1.1,0.2,15.1,76,318,NULL,NULL,NULL,0.0,NULL,NULL,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,35,41,53,NULL,10,6.80,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0.0,NULL,NULL,0.03,0.09,0.1,0.1,NULL,0.0,NULL,NULL,NULL,0
13-293,"Mushrooms, oyster, raw",Literature sources,DG,"Vegetables, Herbs and Spices Supplement, 1991",90.1,1.6,0.2,0.01,8,35,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.0,NULL,NULL,NULL,0.01,0.01,0.10,NULL,0.0,77,230,29,29,120,1.90,0.01,0.01,NULL,3.60,3,NULL,0,0,0.0,NULL,NULL,NULL,0.43,NULL,0.2,NULL,0.0,NULL,NULL,NULL,0.01
13-295,"Mushrooms, shiitake, cooked",Literature sources:,DG,"Haytowitz and Matthews (1984) Composition of foods: vegetables and vegetable products, raw, processed and prepared, Agriculture Handbook No 8-2",83.5,1.6,0.2,12.3,55,232,NULL,NULL,NULL,0.0,NULL,NULL,0.0,0.0,NULL,NULL,NULL,0.10,0.10,0.01,NULL,0.0,4,120,3,14,29,0.40,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0.0,NULL,NULL,0.04,0.17,1.5,0.1,NULL,0.0,NULL,NULL,NULL,0.01
13-294,"Mushrooms, shiitake, dried, raw",Literature sources:,DG,"Haytowitz and Matthews (1984) Composition of foods: vegetables and vegetable products, raw, processed and prepared, Agriculture Handbook No 8-2",9.5,9.6,1.0,63.9,296,1238,NULL,NULL,NULL,0.0,NULL,NULL,0.0,0.0,NULL,NULL,NULL,0.20,0.30,0.10,NULL,0.0,13,1530,11,130,290,1.70,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0.0,NULL,NULL,0.30,1.27,14.1,0.5,NULL,0.0,NULL,NULL,NULL,0.01
13-546,"Mushrooms, white, fried in corn oil",Calculated from 13-505 and 17-033,DG,"DH, Nutrient analysis of fruit and vegetables, 2013",79.1,1.4,11.0,0.4,106,437,0.0,0.4,0.01,0.0,0.4,0.01,0.0,0.0,NULL,1.7,1.0,1.60,3.23,5.65,0.01,0.0,6,542,4,14,135,0.31,0.40,0.9,179,0.07,24,3,0,0.01,0.0,1.88,0.40,0.15,0.39,3.6,0.7,0.11,0.0,26,2.73,13.4,1
13-507,"Mushrooms, white, fried in rapeseed oil","Calculated from raw, cooked for 6.5-10 minutes. Water and fat analysed, 2011",DG,"DH, Nutrient analysis of fruit and vegetables, 2013",79.1,1.4,11.0,0.4,106,437,0.01,0.4,0.01,0.0,0.4,0.01,0.0,0.0,0.0,1.7,1.0,0.75,6.40,3.27,0.01,0.0,6,542,4,14,135,0.30,0.40,0.9,179,0.07,24,3,0,0.01,0.0,2.41,0.40,0.15,0.39,3.6,0.7,0.11,0.0,26,2.73,13.4,1
13-545,"Mushrooms, white, fried in salted butter",Calculated from 13-507 and 13-416,DG,"DH, Nutrient analysis of fruit and vegetables, 2013",79.1,1.4,11.0,0.4,106,437,0.01,0.4,0.01,0.0,0.4,0.01,0.0,0.1,0.0,1.7,1.0,7.36,2.68,0.34,NULL,25.0,150,340,11,19,110,NULL,0.40,0.5,320,0.10,12,11,160,85,0.1,0.40,NULL,0.09,0.34,2.3,0.4,0.19,0.01,11,1.40,8.0,1
13-505,"Mushrooms, white, raw","11 samples, closed cap and button, UK grown and imported, pre-packed and loose",DG,"DH, Nutrient analysis of fruit and vegetables, 2013",92.9,1.0,0.2,0.3,7,29,0.01,0.3,0.01,0.01,0.3,0.01,0.0,0.0,0.0,1.2,0.7,0.04,0.01,0.11,0.00,0.0,4,378,3,10,94,0.21,0.28,0.6,125,0.05,17,2,0,0,0.0,0.01,0.28,0.13,0.27,2.5,0.5,0.10,0.0,40,2.38,11.7,1
13-506,"Mushrooms, white, stewed in unsalted water","As raw, stewed for 5-10 minutes",DG,"DH, Nutrient analysis of fruit and vegetables, 2013",93.1,1.4,0.3,0.1,9,37,0.1,0.01,0.01,0.01,0.01,0.01,0.0,0.0,NULL,2.0,2.6,0.08,0.01,0.17,0.00,0.0,3,216,3,8,75,0.32,0.35,0.9,93,0.05,16,2,0,0,0.0,0.01,0.27,0.09,0.26,1.8,0.8,0.06,0.0,15,1.29,10.9,0.01
16-411,"Mussels in white wine sauce, cooked","6 samples, 6 products, frozen and chilled",JM,"DH, Nutrient analysis of fish and fish products, 2013",82.0,9.7,3.2,3.7,82,347,2.9,0.8,0.0,0.01,0.0,0.0,0.0,0.8,0.2,0.01,0.01,1.26,0.75,0.89,0.04,25.0,608,173,68,76,122,1.46,0.08,1.5,970,0.07,32,282,10,3,0.01,0.84,NULL,0.05,0.18,0.8,1.8,0.03,9.4,26,0.39,4.8,0.01
16-390,"Mussels, purchased cooked","7 samples, 6 products, frozen and chilled",JM,"DH, Nutrient analysis of fish and fish products, 2013",75.5,17.7,2.2,3.5,104,438,0.01,0.01,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.26,0.62,0.01,45.0,401,116,40,50,258,3.25,0.17,3.4,700,0.18,66,247,117,0.01,0.01,1.72,NULL,0.02,0.26,1.0,4.6,0.03,10.6,25,0.32,11.0,0.01
16-497,"Mussels, raw",Purchased alive,JM,"Fish and Fish Products Supplement, 1993; Fe and K calculated from (16-390)",80.9,12.1,1.8,2.5,74,312,0.01,0.01,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40,0.30,0.60,0.01,41.0,290,90,38,23,240,2.53,0.22,2.5,460,0.19,51,140,NULL,0.01,0.01,0.74,NULL,0.02,0.35,1.6,2.6,0.08,19.0,37,0.39,7.0,0.01
13-297,"Mustard and cress, raw",Leaves and cut stems,DG,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987; Vitamin K1 from Bolton-Smith et al Br.J.Nutr. 83, 2000",95.3,1.6,0.6,0.4,13,56,0.01,0.4,NULL,0.0,NULL,NULL,0.0,0.0,0.0,1.1,NULL,0.01,0.20,0.20,0.00,0.0,19,110,50,22,33,1.00,0.01,0.3,39,NULL,NULL,NULL,0,1280,0.0,0.70,88.00,0.04,0.04,1.0,0.3,0.15,0.0,60,NULL,NULL,33
13-299,"Mustard leaves, boiled in unsalted water",Literature sources,DG,"Haytowitz and Matthews (1984) Composition of foods: vegetables and vegetable products, raw, processed and prepared, Agriculture Handbook No 8-2, and Wu Leung et al. (1972) Food composition table for use in East Asia.",94.6,2.0,0.2,1.9,17,73,1.4,0.5,0.3,0.0,0.2,0.01,0.0,0.0,NULL,NULL,NULL,0.01,0.10,0.01,NULL,0.0,16,200,80,15,41,0.80,NULL,NULL,NULL,NULL,NULL,NULL,0,335,0.0,NULL,NULL,0.04,0.07,0.5,NULL,NULL,0.0,NULL,0.12,NULL,26
13-298,"Mustard leaves, raw",Literature sources;,DG,"Haytowitz and Matthews (1984) Composition of foods: vegetables and vegetable products, raw, processed and prepared, Agriculture Handbook No 8-2, and Wu Leung et al. (1972) Food composition table for use in East Asia.",91.3,2.5,0.3,3.6,27,115,2.8,0.8,0.4,0.0,0.3,0.01,0.0,0.0,NULL,NULL,NULL,0.01,0.10,0.10,NULL,0.0,25,330,130,32,45,2.10,NULL,NULL,NULL,NULL,NULL,NULL,0,500,0.0,2.01,NULL,0.07,0.13,0.8,NULL,NULL,0.0,NULL,0.21,NULL,71
17-362,Mustard powder,2 brands,WY,"Reviewed 2013. Miscellaneous Foods, 1994 and Vegetables, Herbs and Spices Supplement, 1991 (13-838). Fatty acid data from FA 13-866 not integrated because total fat content and fatty acid fractions are very different to this sample.",5.0,28.9,28.7,20.7,452,1884,NULL,NULL,NULL,0.0,NULL,NULL,0.0,0.0,0.0,NULL,NULL,1.50,19.80,5.40,0.00,0.0,5,940,330,260,180,9.50,0.20,6.5,62,1.70,NULL,NULL,0,NULL,0.0,NULL,NULL,NULL,NULL,NULL,8.5,NULL,0.0,0,NULL,NULL,0
13-839,Mustard seeds,Literature sources,H,"Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2",6.9,24.9,28.8,NULL,NULL,NULL,NULL,NULL,NULL,0.0,NULL,NULL,0.0,0.0,NULL,NULL,NULL,1.50,19.80,5.40,NULL,0.0,5,680,520,300,840,18.50,0.41,4.7,NULL,1.80,NULL,NULL,0,37,0.0,NULL,NULL,0.54,0.38,7.9,8.5,NULL,0.0,0,NULL,NULL,0
17-363,"Mustard, powder, made up",Made up with an equal volume of water,WY,"Miscellaneous Foods Supplement, 1994",52.5,14.5,14.4,10.4,226,942,NULL,NULL,NULL,0.0,NULL,NULL,0.0,0.0,0.0,NULL,NULL,0.80,9.90,2.70,NULL,0.0,3,470,170,130,90,4.80,0.10,3.3,31,0.85,NULL,NULL,0,NULL,0.0,NULL,NULL,NULL,NULL,NULL,4.3,NULL,0.0,0,NULL,NULL,0
17-364,"Mustard, smooth","10 samples, 7 types including English and French",WY,"Reviewed 2013. LFRA, Nutrient analysis of miscellaneous foods, 1992",63.7,7.1,8.2,9.7,139,579,1.9,7.8,3.4,0.0,2.9,1.5,0.0,0.0,0.0,NULL,NULL,0.50,5.80,1.60,NULL,0.0,2950,200,70,82,190,2.90,0.19,1.0,3550,0.70,NULL,NULL,0,NULL,0.0,NULL,NULL,NULL,NULL,NULL,2.1,NULL,0.0,0,NULL,NULL,0
17-365,"Mustard, wholegrain","9 samples, 5 brands",WY,"Reviewed 2013. LFRA, Nutrient analysis of miscellaneous foods, 1992",65.0,8.2,10.2,4.2,140,584,0.3,3.9,2.0,0.0,1.9,0.01,0.0,0.0,0.0,4.9,NULL,0.60,7.20,1.90,NULL,0.0,1620,220,120,93,200,2.80,0.21,1.2,2210,0.70,NULL,NULL,0,NULL,0.0,NULL,NULL,NULL,NULL,NULL,2.4,NULL,0.0,0,NULL,NULL,0
14-380,"Nectarines, flesh and skin, raw","11 samples, imported",FA,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",86.1,1,0.3,9.8,43,184,0,9.8,2.1,0,2.1,5.6,0,0,0,1.2,1.3,0.02,0.08,0.11,0.01,0,0.01,257,7,9,25,0.2,0.09,0.1,7,0.08,0.01,3,0,155,0,0.45,2.5,0.02,0.02,0.7,0.1,0.04,0,8,0.39,0.1,3
14-381,"Nectarines, flesh and skin, raw, weighed with stones",Calculated from 14-380,FA,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",79.2,0.9,0.3,9,40,170,0,9,1.9,0,1.9,5.2,0,0,0,1.1,1.2,0.02,0.08,0.1,0.01,0,0.01,236,6,8,23,0.18,0.08,0.1,6,0.07,0.01,3,0,143,0,0.41,2.3,0.02,0.02,0.6,0.1,0.04,0,7,0.36,0.1,3
11-719,"Noodles, egg, dried, raw","10 samples, 6 products. Fine, medium and thick noodles",AD,"LGC, Nutrient analysis of pasta and pasta sauces, 2004",8.2,12.0,2.0,72.6,338,1440,70.9,1.7,0.2,NULL,0.2,0.6,0.7,0.0,0.0,3.9,NULL,0.31,0.30,0.73,0.01,1.8,500,378,73,49,187,2.65,0.20,1.3,710,1.10,16,6,4,43,0.2,0.53,NULL,0.12,0.02,3.3,2.5,0.15,0.01,19,0.60,4.0,0
11-941,"Noodles, egg, fine, dried, boiled in unsalted water",Calculated from medium cooked noodles,AD,"LGC, Nutrient analysis of pasta and pasta sauces, 2004",66.8,4.7,0.8,27.5,129,549,27.5,0.01,0.01,NULL,0.01,0.01,0.01,0.0,0.0,1.7,2.3,0.12,0.11,0.27,0.01,0.7,109,57,33,19,68,0.85,0.01,0.5,143,0.41,8,0.01,0.01,0,0.1,0.27,NULL,0.01,0.01,0.5,1.1,0.01,0.01,5,0.23,0.8,0
11-1096,"Noodles, egg, fried with spring onions, homemade",Recipe,AD,Updated 2014,51.7,5.0,12.2,30.5,244,1026,30.4,0.2,0.1,NULL,0.1,0.0,0.01,0.0,0.0,2.0,NULL,0.88,6.85,3.63,0.01,0.8,120,79,39,22,77,1.06,0.00,0.5,160,0.46,9,0.01,0.01,35,0.1,2.82,NULL,0.00,0.00,0.5,1.2,0.01,0.01,6,0.26,0.9,1
11-724,"Noodles, egg, medium, dried, boiled in unsalted water","6 samples, 2 products",AD,"LGC, Nutrient analysis of pasta and pasta sauces, 2004",57.0,5.8,1.0,35.7,166,707,35.7,0.01,0.01,NULL,0.01,0.01,0.01,0.0,0.0,2.2,3.0,0.15,0.14,0.35,0.01,0.9,141,75,43,25,89,1.11,0.01,0.6,186,0.53,10,0.01,0.01,0.01,0.1,0.35,NULL,0.01,0.01,0.6,1.4,0.01,0.01,6,0.30,1.0,0
11-942,"Noodles, egg, thick, dried, boiled in unsalted water",Calculated from medium cooked noodles,AD,"LGC, Nutrient analysis of pasta and pasta sauces, 2004",63.0,5.0,0.9,30.7,143,608,30.7,0.01,0.01,NULL,0.01,0.01,0.01,0.0,NULL,1.9,2.6,0.13,0.12,0.30,0.01,0.7,121,64,37,22,76,0.95,0.01,0.5,160,0.46,9,0.01,0.01,0,0.1,0.30,NULL,0.01,0.01,0.5,1.2,0.01,0.01,5,0.26,0.9,0
11-725,"Noodles, rice, fine, dried, boiled in unsalted water","8 samples, 3 products",AD,"LGC, Nutrient analysis of pasta and pasta sauces, 2004",73.2,1.9,0.2,21.3,89,381,21.3,0.01,0.01,NULL,0.01,0.01,0.0,0.0,0.0,0.7,1.1,0.05,0.03,0.08,0.01,0.0,4,3,22,3,19,0.10,0.01,0.4,65,0.14,1,3,0,0,0.0,0.09,NULL,0.01,0.01,0.1,0.8,0.01,0.0,3,0.01,0.01,0
17-814,"Nougat, homemade",Recipe,SEC,Updated 2014,4.5,5.2,10.2,80.0,413,1747,0.4,79.6,3.2,NULL,3.8,72.6,0.01,0.0,NULL,0.9,1.1,1.61,4.86,3.00,0.00,68.0,115,249,33,24,101,0.96,0.22,0.7,160,0.17,5,NULL,24,20,0.6,0.88,NULL,0.12,0.12,0.3,1.3,NULL,0.5,NULL,NULL,NULL,0
15-216,"Nut and rice roast, mixed nuts with egg, homemade",Recipe from review of recipe collection. Mixed nuts,DR,As Vegetable Dishes Supplement 1992,36.1,12.1,21.9,23.5,333,1391,20.5,2.7,NULL,0.0,NULL,NULL,NULL,0.0,NULL,3.5,NULL,3.50,10.80,6.30,NULL,29.0,420,420,49,100,270,1.70,0.46,1.8,690,1.40,9,10,14,12,0.1,2.88,NULL,0.20,0.23,4.4,2.7,NULL,0.2,24,NULL,NULL,0.01
15-215,"Nut and rice roast, mixed nuts, homemade",Recipe from review of recipe collection. Mixed nuts,DR,As Vegetable Dishes Supplement 1992,33.5,12.0,22.6,25.2,346,1442,22.0,2.9,NULL,0.0,NULL,NULL,NULL,0.0,NULL,3.7,NULL,3.50,11.20,6.60,NULL,0.0,440,440,48,110,280,1.70,0.49,1.9,730,1.50,9,6,0,13,0.0,3.00,NULL,0.21,0.21,4.7,2.6,NULL,0.0,24,NULL,NULL,0.01
15-218,"Nut and seed roast, mixed nuts and sunflower seeds with egg, homemade",Recipe from review of recipe collection,DR,As Vegetable Dishes Supplement 1992.,37.5,13.0,23.9,18.1,335,1397,14.9,2.7,NULL,0.0,NULL,1.6,NULL,0.0,NULL,3.9,NULL,3.40,10.20,8.90,NULL,33.0,300,440,65,120,290,2.40,0.56,2.1,470,1.30,16,10,16,16,0.2,6.72,NULL,0.32,0.25,4.2,3.0,0.19,0.2,23,0.57,21.9,0.01
15-217,"Nut and seed roast, mixed nuts and sunflower seeds, homemade",Recipe from review of recipe collection,DR,As Vegetable Dishes Supplement 1992,34.7,12.9,24.9,19.6,349,1454,16.2,2.9,NULL,0.0,NULL,1.7,NULL,0.0,NULL,4.2,NULL,3.40,10.60,9.50,NULL,0.0,310,460,65,130,300,2.40,0.60,2.1,490,1.40,17,6,0,17,0.0,7.16,NULL,0.34,0.24,4.5,2.8,0.20,0.0,23,0.49,22.2,0.01
15-220,"Nut and vegetable roast, mixed nuts with egg, homemade",Recipe from review of recipe collection,DR,As Vegetable Dishes Supplement 1992,42.3,11.3,21.2,18.3,304,1269,14.3,3.6,NULL,0.0,NULL,NULL,NULL,0.0,NULL,3.6,NULL,3.30,10.20,6.40,NULL,29.0,290,430,60,84,230,1.80,0.34,1.6,470,1.10,10,10,14,790,0.1,3.16,NULL,0.19,0.22,4.0,2.5,0.22,0.2,24,0.64,23.5,1
15-219,"Nut and vegetable roast, mixed nuts, homemade",Recipe from review of recipe collection,DR,As Vegetable Dishes Supplement 1992,40.1,11.1,21.9,19.6,314,1311,15.4,3.8,NULL,0.0,NULL,NULL,NULL,0.0,NULL,3.9,NULL,3.20,10.60,6.80,NULL,0.0,300,450,60,89,230,1.70,0.36,1.6,490,1.20,10,6,0,850,0.0,3.29,NULL,0.19,0.21,4.3,2.3,0.23,0.0,24,0.57,23.9,2
15-208,"Nut croquettes, fried in sunflower oil, homemade",Recipe from review of recipe collection,DR,As Vegetable Dishes Supplement 1992,36.2,9.3,26.2,21.6,351,1461,18.6,2.5,NULL,0.0,NULL,NULL,NULL,0.0,NULL,3.4,NULL,3.60,9.40,11.70,NULL,0.0,220,350,59,74,190,2.00,0.39,1.4,370,1.10,12,5,0,6,0.0,7.83,NULL,0.16,0.12,4.1,1.9,0.17,0.0,15,0.81,23.6,1
15-209,"Nut croquettes, fried in vegetable oil, homemade",Recipe from review of recipe collection,DR,As Vegetable Dishes Supplement 1992,36.2,9.3,26.2,21.6,351,1461,18.6,2.5,NULL,0.0,NULL,NULL,NULL,0.0,NULL,3.4,NULL,3.40,11.30,9.90,NULL,0.0,220,350,59,74,190,2.00,0.39,1.4,370,1.10,12,6,0,6,0.0,4.67,NULL,0.16,0.12,4.1,1.9,0.17,0.0,15,0.75,19.5,1
15-210,"Nut cutlets, retail, fried in sunflower oil",Recipe from manufacturer,DR,As Vegetable Dishes Supplement 1992,51.6,4.8,22.3,18.7,289,1205,17.3,1.3,0.3,0.0,0.2,0.7,0.01,0.0,NULL,1.7,NULL,2.50,8.10,10.50,NULL,0.0,210,190,84,60,140,1.30,0.32,1.0,340,0.50,NULL,NULL,0,520,0.0,7.68,NULL,0.12,0.10,1.4,1.1,NULL,0.0,9,0.41,6.8,1
15-211,"Nut cutlets, retail, fried in vegetable oil",Recipe from manufacturer,DR,As Vegetable Dishes Supplement 1992,51.6,4.8,22.3,18.7,289,1205,17.3,1.3,0.3,0.0,0.2,0.7,0.01,0.0,NULL,1.7,NULL,2.40,9.70,9.00,NULL,0.0,210,190,84,60,140,1.30,0.32,1.0,340,0.50,NULL,NULL,0,520,0.0,5.18,NULL,0.12,0.10,1.4,1.1,NULL,0.0,9,0.41,6.8,1
15-212,"Nut cutlets, retail, grilled",Recipe from manufacturer,DR,As Vegetable Dishes Supplement 1992,59.3,5.1,13.0,19.9,212,886,18.4,1.4,0.3,0.0,0.2,0.8,0.01,0.0,NULL,1.8,NULL,1.40,6.50,4.40,NULL,0.0,220,210,89,64,150,1.40,0.34,1.1,360,0.50,NULL,NULL,0,550,0.0,2.94,NULL,0.12,0.08,1.2,1.1,NULL,0.0,10,0.35,5.8,1
15-643,"Nut roast, homemade",Recipe from review of recipe collection.,DR,Updated 2013,38.7,13.2,23.5,18.8,335,1395,14.4,4.1,0.4,0.01,0.4,2.8,0.5,0.0,0.0,4.0,NULL,3.63,12.09,6.50,0.01,0.0,154,419,76,114,260,2.07,0.54,2.0,260,1.37,4,8,0,17,0.0,6.56,NULL,0.51,0.31,6.2,2.9,0.28,0.01,89,1.00,29.3,0
15-214,"Nut roast, mixed nuts with egg, homemade",Recipe from review of recipe collection.,DR,As Vegetable Dishes Supplement 1992,37.3,13.3,24.7,16.9,338,1409,13.5,3.0,NULL,0.0,NULL,NULL,NULL,0.0,NULL,3.9,NULL,3.90,12.20,7.00,NULL,33.0,330,450,61,100,270,1.90,0.40,1.9,520,1.30,11,11,16,14,0.2,3.17,NULL,0.19,0.26,4.7,2.9,0.24,0.2,26,0.70,29.7,0.01
15-221,"Nut, mushroom and rice roast, homemade",Recipe adapted from a recipe from Leeds Polytechnic,DR,As Vegetable Dishes Supplement 1992,48.3,7.8,15.3,24.3,260,1085,21.2,2.8,NULL,0.0,NULL,NULL,NULL,0.0,NULL,2.7,NULL,2.20,7.00,5.20,NULL,0.0,290,340,32,72,200,1.30,0.44,1.3,350,1.10,7,4,0,805,0.0,2.50,NULL,0.17,0.18,3.4,1.7,NULL,0.01,20,NULL,NULL,1
13-877,"Nutmeg, ground",Literature sources,H,"USDA SR26, 2013",6.2,5.8,36.3,NULL,NULL,NULL,NULL,28.5,NULL,0.0,NULL,NULL,0.0,0.0,0.0,NULL,20.8,25.90,3.20,0.30,0.00,0.0,16,350,180,180,210,3.00,1.03,2.2,NULL,2.90,2,NULL,0,60,0.0,NULL,NULL,0.35,0.06,1.3,NULL,0.16,0.0,76,NULL,NULL,3
14-880,"Nuts, mixed","Calculated as plain peanuts 68%, almonds 17%, cashews 8% and hazelnuts 7%",GA,Updated 2014,5.7,23.8,49.1,11.6,581,2407,6.0,5.6,0.0,NULL,0.0,5.6,0.0,0.0,0.0,6.2,NULL,7.72,27.25,11.79,0.00,0.0,5,696,94,222,452,2.93,1.12,3.5,10,2.20,5,16,0,0,0.0,12.78,NULL,0.89,0.22,10.0,5.0,0.51,0.0,93,2.07,66.1,0
11-1100,"Oatcakes, homemade",Recipe,AM,Updated 2014,11.9,9.5,15.9,61.4,411,1731,61.0,0.3,0.01,NULL,0.01,0.3,0.01,0.1,NULL,6.2,6.8,6.76,4.96,3.07,0.32,23.4,175,326,45,99,338,3.16,0.32,2.0,197,3.17,3,4,104,66,0.1,0.71,0.80,0.91,0.05,0.7,2.4,0.29,0.0,28,0.66,16.5,0.01
11-823,"Oatcakes, plain, retail","10 samples, 7 products, Nairns and own label",AM,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",4.1,9.3,20.0,62.8,453,1904,59.6,3.2,0.01,0.01,0.01,1.0,2.2,0.01,0.0,8.8,9.4,5.67,9.32,3.87,0.01,4.9,796,359,57,101,383,3.82,0.35,2.0,830,3.84,9,1,0,0,0.0,2.52,NULL,0.32,0.09,0.7,2.3,0.10,0.0,26,1.00,17.0,0
16-259,"Octopus, raw",Literature sources,JM,"Fish and Fish Products Supplement, 1993",82.1,17.9,1.3,0.01,83,352,0.01,0.01,0.0,NULL,0.0,0.0,0.0,0.0,NULL,0.0,NULL,0.30,0.20,0.50,NULL,48.0,NULL,230,33,NULL,170,1.20,0.40,1.7,NULL,0.02,75,20,5,0,0.01,NULL,NULL,0.07,0.07,5.0,3.8,0.36,NULL,NULL,NULL,NULL,0
17-031,"Oil, coconut",Mean of 35 samples,OC,"Reviewed 2013. Miscellaneous Foods Supplement, 1994; and Fatty Acid Supplement, 1998. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",0.01,0.01,99.9,0.0,899,3696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.50,6.00,1.50,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.0,0.66,1.00,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0
17-488,"Oil, cod liver",Mean of 20 samples,OC,"Reviewed 2013. Miscellaneous Foods Supplement, 1994; and Fatty Acids Supplement, 1998. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",0.01,0.01,99.9,0.0,899,3696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.10,44.60,30.50,0.01,570.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,18000,0.01,210.0,20.00,0.30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
17-033,"Oil, corn",Mean of 42 samples,OC,"Reviewed 2013. Miscellaneous Foods Supplement, 1994; and Fatty Acids Supplement, 1998. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",0.01,0.01,99.9,0.0,899,3696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.40,29.90,51.30,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.0,17.24,3.00,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0
17-034,"Oil, cottonseed",Mean of 55 samples,OC,"Miscellaneous Foods Supplement, 1994; and Fatty Acids Supplement, 1998",0.01,0.01,99.0,0.0,891,3663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL,26.10,18.30,50.20,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.0,42.77,NULL,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0
17-035,"Oil, evening primrose",Mean of 35 samples,OC,"Reviewed 2013. Miscellaneous Foods Supplement, 1994. Additional individual fatty acid data is available in 17-420 (1998) but is from a different sample with a slightly different fatty acid profile.",0.01,0.01,99.9,0.0,899,3696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.80,10.60,76.60,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.0,NULL,NULL,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0
17-036,"Oil, grapeseed",Mean of 23 samples,OC,"Reviewed 2013. Miscellaneous Foods Supplement, 1994. Additional individual fatty acid data is available in 17-436 from the Fatty Acid Supplement (1998) but is from a different sample with a slightly different fatty acid profile.",0.01,0.01,99.9,0.0,899,3696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.10,15.80,68.20,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.0,NULL,NULL,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0
